park_name,width_ft,class,surface,gen_topog,difficulty,date_collected,trail_name,parkid,trailmarkersinstalled,shape
Pelham Bay Park,5.0,Class IV : Highly Developed,Gravel,Level,2: Slightly uneven,2021.0,Bridle Trail,X039,Yes,"MULTILINESTRING ((-73.79839760335909 40.87495924367944, -73.79840832198764 40.87495177392834, -73.79922725794775 40.87491461828234, -73.79941252128525 40.87489111528027, -73.79955394836341 40.87483179719951, -73.79955773749204 40.87482471782456))"
Pelham Bay Park,5.0,Class IV : Highly Developed,Gravel,Level,2: Slightly uneven,2021.0,Bridle Trail,X039,Yes,"MULTILINESTRING ((-73.80378459123125 40.873305215465805, -73.8040453386361 40.87332445715458, -73.80421496122467 40.873352222614464, -73.80445396265429 40.873426771510736, -73.8049228946838 40.8735134440096))"
Pelham Bay Park,5.0,Class IV : Highly Developed,Gravel,Level,2: Slightly uneven,2021.0,Bridle Trail,X039,Yes,"MULTILINESTRING ((-73.8049228946838 40.8735134440096, -73.80492678010657 40.8735141619648, -73.80531338418922 40.8734101805789, -73.8057044848879 40.87328571121305, -73.80582287246904 40.87323193509663, -73.80594126104768 40.873178157959764, -73.80610319985547 40.8731959293911, -73.80622878501634 40.8732119043138))"
Pelham Bay Park,3.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2021.0,Siwanoy Trail,X039,Yes,"MULTILINESTRING ((-73.80374190072068 40.87237362528763, -73.80378864158479 40.87227514159648, -73.80385049723003 40.872105315210725, -73.8038269323244 40.872057265507266, -73.80372265908223 40.871909070984906, -73.80380113093804 40.87181234227367, -73.80391808963155 40.87156048477906, -73.80391182271244 40.87146187492264, -73.80391945692952 40.87144760341389))"
Pelham Bay Park,5.0,Class IV : Highly Developed,Dirt,Level,2: Slightly uneven,2021.0,Bridle Trail,X039,Yes,"MULTILINESTRING ((-73.79740923224843 40.88110721015799, -73.79724347169488 40.88112323323332, -73.7962994764536 40.88101687201445, -73.7962356722565 40.880938205215564))"
Pelham Bay Park,7.0,Class IV : Highly Developed,Gravel,Level,2: Slightly uneven,2021.0,Bridle Trail,X039,Yes,"MULTILINESTRING ((-73.8112350649856 40.8719166181166, -73.81123758656126 40.87191301667826, -73.81086369478903 40.87170132324832, -73.81063599234155 40.87148699241491, -73.81066891705132 40.871204188003944))"
Pelham Bay Park,3.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2021.0,Siwanoy Trail,X039,Yes,"MULTILINESTRING ((-73.81125039138415 40.86482604950485, -73.81124529595068 40.864819683700105, -73.81142431577238 40.86462732977949, -73.81153867356687 40.864598861181044, -73.81164605981527 40.86463044116703, -73.81175318060502 40.86463305991456, -73.81182875786469 40.86459218291597, -73.81187572294147 40.86448290561709, -73.81175137444131 40.864253724036914, -73.81181049482095 40.864160426900426))"
Riverdale Park,5.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2021.0,Red Trail,X142,Yes,"MULTILINESTRING ((-73.91458699200707 40.900185865330386, -73.91485889355039 40.900002946466955, -73.91486482524373 40.89986104897978, -73.91484949040678 40.899807721815996, -73.91485137005459 40.8996828188712, -73.9149139939876 40.89959447713627, -73.91497703042272 40.899487836033664))"
Van Cortlandt Park,9.0,Class IV : Highly Developed,Dirt,Level,2: Slightly uneven,2021.0,Old Croton Aqueduct Trail,X092,Yes,"MULTILINESTRING ((-73.88235434425373 40.904989986055675, -73.88234608632773 40.90488254816147, -73.88238736198691 40.90443048985693, -73.8823299368679 40.904153757762955, -73.88232986338228 40.90415236103799))"
Van Cortlandt Park,5.0,Class V : Fully Developed,Dirt,Level,2: Slightly uneven,2021.0,Cass Gallagher Nature Trail,X092,Yes,"MULTILINESTRING ((-73.8905761393019 40.905766237308306, -73.89060101373349 40.90587380468969, -73.89066970916465 40.90601026594874, -73.89069255796237 40.906103315598514, -73.89061593325177 40.906257201335826, -73.89045240423532 40.90645049528236, -73.89044150249227 40.90650961155909, -73.89040882094208 40.90662790492098, -73.89043447835702 40.90672708866597, -73.8904340621505 40.90673332861861))"
Van Cortlandt Park,9.0,Class IV : Highly Developed,Gravel,Level,2: Slightly uneven,2021.0,Cross Country Trail,X092,Yes,"MULTILINESTRING ((-73.88932370739029 40.90533685202899, -73.88940849002955 40.90528649539875, -73.8895346519166 40.905239537106574, -73.88962591356452 40.90521409388368, -73.88970674617595 40.905154281784306, -73.88985102247983 40.90504019320619, -73.88993820869851 40.90489394240177, -73.88997149473757 40.904860007894676, -73.89012131968697 40.90474450239786, -73.89016222895208 40.9046910697186, -73.8901875357889 40.90464044340014, -73.89018883565461 40.90461227571405))"
Van Cortlandt Park,7.0,Class IV : Highly Developed,Paved,Level,1: Flat and smooth,2021.0,Cross Country Trail,X092,Yes,"MULTILINESTRING ((-73.89254797831121 40.90340318393254, -73.89258873062475 40.9034231171381, -73.89269906195598 40.90354196560156, -73.89272639614632 40.9036375260055, -73.8927379471947 40.90371504856084, -73.89272219507853 40.90390274331911, -73.89266986707777 40.90408640412469, -73.89262304922704 40.90421137381195, -73.89259511438645 40.90431411550236))"
Van Cortlandt Park,7.0,Class IV : Highly Developed,Concrete,Level,1: Flat and smooth,2021.0,Unnamed Official Trail,X092,No,"MULTILINESTRING ((-73.89451512421691 40.885601546059604, -73.89451163903024 40.88567207168454, -73.8944725026512 40.8858067009733, -73.89443199324278 40.8859436090217, -73.89438149356573 40.88608021705419, -73.8943311095496 40.8862006614348, -73.89426795552785 40.88633549827532, -73.89420212263823 40.88646176449418))"
Riverside Park,7.0,Class IV : Highly Developed,Dirt,Sloped,2: Slightly uneven,2021.0,Blue Trail,M071,Yes,"MULTILINESTRING ((-73.96567515543084 40.81034555089514, -73.96562375459037 40.81041141059171, -73.9654717946603 40.810701046290134, -73.96530963321902 40.810946054544786, -73.96526639415036 40.81103425877847, -73.96513349587055 40.81116183358644))"
Deere Park,5.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2021.0,Blue Trail,R115,Yes,"MULTILINESTRING ((-74.10515139004063 40.60606661577046, -74.10522149750291 40.60607412680312, -74.10530973459535 40.60609653203256, -74.10543283588363 40.60610773243629, -74.10551892503035 40.60608827599106, -74.10573629162546 40.606096346622756, -74.1058895512823 40.60620310473682, -74.1059791935271 40.606209063718644, -74.10618975717423 40.60608267736518, -74.10633163866486 40.60597473294753, -74.10641554681376 40.60593784823657))"
Clove Lakes Park,9.0,Class V : Fully Developed,Paved,Level,1: Flat and smooth,2021.0,Unnamed Official Trail,R005,No,"MULTILINESTRING ((-74.12062655043019 40.62392600584472, -74.12068723363868 40.62403457740039, -74.12075164758996 40.62419898270441, -74.12088020039451 40.62437472024334, -74.12097438327096 40.62445441543274, -74.12112421746957 40.62457964890015, -74.12125686816218 40.62465767428005, -74.121419387532 40.624706356010854))"
Wolfe's Pond Park,3.0,Class III : Developed/Improved,Dirt,Wavy,4: Strenuous climbs,2021.0,Orange Trail,R031,No,"MULTILINESTRING ((-74.19538533611131 40.52067407811121, -74.19535787871465 40.52069867691257, -74.19531319756588 40.52069346593248, -74.19522426760133 40.520690863392986, -74.19519682055501 40.52071620057321, -74.19513974812786 40.52075963114638, -74.1950970662097 40.520788875488215, -74.19505117697446 40.520807231545035, -74.19501132227178 40.520791941611876, -74.19496802569013 40.52082126079327, -74.19499829304674 40.52090186630563, -74.19503669431425 40.520918885030056, -74.19506235603073 40.52091455670008, -74.19509054166191 40.52088751359284, -74.19509496512963 40.52086509096677, -74.19518061743388 40.52085122217109, -74.19521861015183 40.52083380163589, -74.19523128921765 40.52082472253466, -74.1952841355867 40.520794517995206, -74.19530788081485 40.520761503765506, -74.19536405434624 40.520779990622884, -74.19539748588406 40.52076007611704, -74.19544345949606 40.52073994843405))"
Wolfe's Pond Park,3.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2021.0,"Orange Trail, White Trail",R031,No,"MULTILINESTRING ((-74.19534932290937 40.52281407201833, -74.19540702710327 40.52271815645611, -74.19545686897669 40.52265194834504, -74.19547206086503 40.5225323356248, -74.19541943233287 40.52237107717714, -74.1953951610002 40.52216937804013, -74.19535845425233 40.52201572985719))"
Blue Heron Park,3.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2021.0,Meadow Trail,R119,Yes,"MULTILINESTRING ((-74.17325206267287 40.53007302105324, -74.17336579553707 40.53000729711247, -74.17443255154653 40.529731351098825, -74.17462006805786 40.52973663760561))"
Blue Heron Park,3.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2021.0,Arbutus Woods Trail,R119,Yes,"MULTILINESTRING ((-74.179103772104 40.52990482097214, -74.17920557117452 40.53004400106437, -74.17926531739188 40.53022149223323, -74.17961075406691 40.53067822235139, -74.17966377024209 40.5307833860929))"
